,en,fr,current
taxo.level.a.and.b,taxo.level.a.and.b,niveau.taxo.a.et.b,niveau.a.et.b
mean.weight.small,mean.weight.small,poids.moyen.petits,poids.moyen.petits
mean.weight.medium,mean.weight.medium,poids.moyen.moyens,poids.moyen.moyens
mean.weight.large,mean.weight.large,poids.moyen.gros,poids.moyen.gros
max.length.small,max.length.small,taille.max.petits,tailleMax.petit
max.length.medium,max.length.medium,taille.max.moyens,tailleMax.moyen
observed,observed,observee,Observee
IUCN.loc.status,IUCN.status,statut.IUCN,statutIUCN
ZONE.CODE,ZONE.CODE,CODE.ZONE,CODE.ZONE
ZONE,ZONE,ZONE,ZONE
MPA,MPA,AMP,AMP
SITE,SITE,SITE,SITE
STATION,STATION,STATION,STATION
GROUP.OF.SITES,GROUP.OF.SITES,GROUPE.DE.SITES,GROUPE
ZONE.LONGITUDE,ZONE.LONGITUDE,LONGITUDE.ZONE,LONGITUDE.ZONE
ZONE.LATITUDE,ZONE.LATITUDE,LATITUDE.ZONE,LATITUDE.ZONE
SURFACE,SURFACE,SURFACE,SURFACE
SHORELINE,SHORELINE,LINEAIRE.COTIER,LINEAIRE.COTIER
PROTECTION.STATUS,PROTECTION.STATUS,STATUT.PROTECTION,STATUT.PROTECTION
FISHING.ZONATION,FISHING.ZONATION,ZONAGE.PECHE,ZONAGE.PECHE
SIH.CODE,SIH.CODE,CODE.SIH,CODE.SIH
PAMPA.STATUS,PAMPA.STATUS,STATUT.PAMPA,STATUT.PAMPA
NB.PERMANENT.MOORINGS,NB.PERMANENT.MOORINGS,NB.CORPS-MORTS,NBCM
abundance.prop.SC,abundance.prop.SC,prop.abondance.CL,prop.abondance.CL
biomass,biomass,biomasse,biomasse
biomass.max,max.biomass,biomasseMax,biomasseMax
biomass.prop.SC,biomass.prop.SC,prop.biomasse.CL,prop.biomasse.CL
colonies,colonies,colonies,colonie
coverage,coverage,recouvrement,recouvrement
CPUE,CPUE.abundance,CPUE.abondance,CPUE
CPUE.biomass,CPUE.biomass,CPUE.biomasse,CPUEbiomasse
density,density,densité,densite
density.max,max.density,densiteMax,densiteMax
density.sd,sd.density,densiteSD,densiteSD
mean.length,mean.length,taille.moyenne,taille_moyenne
mean.size.colonies,mean.size.colonies,taille.moy.colonies,taille.moy.colonies
mean.weight,mean.weight,poids.moyen,poids_moyen
number.max,max.number,nombreMax,nombreMax
number.sd,sd.number,nombreSD,nombreSD
pres.abs,pres.abs,pres.abs,pres_abs
spawning.success,spawning.success,reussite.ponte,reussite.ponte
readable.tracks,readable.tracks,traces.lisibles,traces.lisibles
Density,Density,Densité,Densite
Biomass,Biomass,Biomasse,Biomasse
biomass.sd,sd.biomass,biomasseSD,biomasseSD
tot.biomass,tot.biomass,biomasse.tot,biomasse.tot
species.richness,species.richness,richesse.specifique,richesse_specifique
relative.SR.site,relative.SR.site,RS.relative.site,RS.relative.site
relative.SR.site.phylum,relative.SR.site.phylum,RS.relative.site.phylum,RS.relative.site.phylum
relative.SR.data,relative.SR.data,RS.relative.donnees,RS.relative.donnees
relative.SR.region,relative.SR.region,RS.relative.region,RS.relative.region
relative.SR.region.phylum,relative.SR.region.phylum,RS.relative.region.phylum,RS.relative.region.phylum
simpson,simpson,simpson,simpson
simpson.l,simpson.l,l.simpson,l.simpson
shannon,shannon,shannon,shannon
pielou,pielou,pielou,pielou
hill,hill,hill,hill
Delta,Delta,Delta,Delta
DeltaStar,DeltaStar,DeltaEtoile,DeltaEtoile
LambdaPlus,LambdaPlus,LambdaPlus,LambdaPlus
DeltaPlus,DeltaPlus,DeltaPlus,DeltaPlus
SDeltaPlus,SDeltaPlus,SDeltaPlus,SDeltaPlus
occurrence.frequency,occurrence.frequency,frequence.occurrence,freq.occurrence
